Cliente;rede;uf;vendedor;codigo;loja;endereco;bairro;municipio;cep
Armazem Cecilio Mota;Outros;BA;Antonio;6006;1;RUA J J SEABRA 126;ESTACAO;JACOBINA;44700-000
Assai Aeroporto;Assai;SE;Nixon;1899;43;AV MELICIO MACHADO 240;AEROPORTO;ARACAJU;49038-443
Assai Barris;Assai;BA;Nixon;1899;51;R DO SALETE 30;BARRIS;SALVADOR;40070-200
Assai Cabula;Assai;BA;Nixon;1899;52;R SILVEIRA MARTINS 000119;CABULA;SALVADOR;41150-000
Assai Calcada;Assai;BA;Nixon;1899;39;R LUIZ REGIS PACHECO 368;URUGUAI;SALVADOR;40451-360
Assai Camacari;Assai;BA;Nixon;1899;35;AVENIDA JORGE AMADO;INDUSTRIAL;CAMACARI;42800-311
Assai Feira Sobradinho;Assai;BA;Nixon;1899;13;AVENIDA EDUARDO FROES DE MOTA  SN;SOBRADINHO;FEIRA DE SANTANA;44021-215
Assai Imbui;Assai;BA;Nixon;1899;74;AV LUIS VIANA FILHO 3056;IMBUI;SALVADOR;41720-200
Assai Inacio Barbosa;Assai;SE;Nixon;1899;54;AV ADELIA FRANCO 3735;INACIO BARBOSA;ARACAJU;49040-020
Assai Itabaiana;Assai;SE;Nixon;1899;44;AV EDUARDO PAIXAO ROCHA 1667;PORTO;ITABAIANA;49510-190
Assai Jequie;Assai;BA;Nixon;1899;15;AVENIDA CESAS BORGES SN;SAO JUDAS TADEU;JEQUIE;45203-830
Assai Juazeiro;Assai;BA;Antonio;1899;81;AVENIDA SAO JOAO 1947;JARDIM VITORIA;JUAZEIRO;48900-441
Assai Lauro De Freitas;Assai;BA;Nixon;1899;34;AV SANTOS DUMONT 2239;ESTRADA DO COCO;LAURO DE FREITAS;42700-130
Assai Luis Anselmo;Assai;BA;Nixon;1899;67;AV ANTONIO CARLOS MAGALHAES 001400;LUIS ANSELMO;SALVADOR;40260-700
Assai Mussurunga;Assai;BA;Nixon;1899;37;R PROFESSOR PLINIO GARCEZ DE SENA  1240;MUSSURUNGA I;SALVADOR;41490-340
Assai Norte;Assai;SE;Nixon;1899;42;R SIMEAO AGUIAR 430;JOSE CONRADO DE ARAUJO;ARACAJU;49085-410
Assai Nossa Sra Do Socorro;Assai;SE;Nixon;1899;66;AV EIXO ESTRUTURAL B SN;DISTRITO;NOSSA SENHORA DO SOCORRO;49160-000
Assai Paripe;Assai;BA;Nixon;1899;36;AV AFRANIO PEIXOTO  SN;PARIPE;SALVADOR;40800-570
Assai Pau Da Lima;Assai;BA;Nixon;1899;38;AV ALIOMAR BALEEIRO  2249;VILA CANARIA;SALVADOR;41390-710
